[08-Dec-2020 19:57:42 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 212
[08-Dec-2020 19:57:42 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 213
[08-Dec-2020 19:57:42 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 214
[08-Dec-2020 19:57:42 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 215
[08-Dec-2020 19:57:42 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 217
[08-Dec-2020 19:57:42 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 218
[08-Dec-2020 19:58:52 UTC] PHP Parse error:  syntax error, unexpected 'Command' (T_STRING), expecting ';' or ',' in C:\www\Assignment5\includes\functions-inc.php on line 227
[08-Dec-2020 19:58:59 UTC] PHP Parse error:  syntax error, unexpected 'Command' (T_STRING), expecting ';' or ',' in C:\www\Assignment5\includes\functions-inc.php on line 227
[08-Dec-2020 19:59:14 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 211
[08-Dec-2020 19:59:14 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 212
[08-Dec-2020 19:59:14 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 213
[08-Dec-2020 19:59:14 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 214
[08-Dec-2020 19:59:14 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 215
[08-Dec-2020 19:59:14 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 217
[08-Dec-2020 19:59:14 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 218
[08-Dec-2020 19:59:14 UTC] PHP Notice:  Undefined variable: uid in C:\www\Assignment5\includes\functions-inc.php on line 223
[08-Dec-2020 19:59:28 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 211
[08-Dec-2020 19:59:28 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 212
[08-Dec-2020 19:59:28 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 213
[08-Dec-2020 19:59:28 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 214
[08-Dec-2020 19:59:28 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 215
[08-Dec-2020 19:59:28 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 217
[08-Dec-2020 19:59:28 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 218
[08-Dec-2020 19:59:32 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 211
[08-Dec-2020 19:59:32 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 212
[08-Dec-2020 19:59:32 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 213
[08-Dec-2020 19:59:32 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 214
[08-Dec-2020 19:59:32 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 215
[08-Dec-2020 19:59:32 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 217
